,AID,Format,Valid,Fulltext_Available,DOI_Available,Link_Available,RG_Details,Work_Type,row.names,PT,BA,BE,Z2,Y1,AE,Z3,BS,VL,MA,BP,EP,AR,SU,PD,AK,CT,CY,SP,CL
242,A242,NA,NA,NA,NA,NA,NA,NA,J,"Voipio-Pulkki, LM; Nuutila, P; Knuuti, MJ; Ruotsalainen, U; Haaparanta, M; Teras, M",,,Heart and skeletal muscle glucose disposal in type 2 diabetic patients as determined by positron emission tomography,,,ResearchGate.,34,12,2064,7,,,1-Jan,1994,,,,,1
243,A243,NA,NA,NA,NA,NA,NA,NA,J,"Wang, W.; Li, S.; Qi, H.; Ayhan, B.; Kwan, C.; Vance, S.",,,Revisiting the preprocessing procedures for elemental concentration estimation based on CHEMCAM LIBS on MARS Rover,,,RESEARCHGATE,,,,,,,,2014,6th Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing,,,,1
244,A244,NA,NA,NA,NA,NA,NA,NA,J,"Watthanaworawit, W.; Turner, P.; Turner, C. L.; Tanganuchitcharnchai, A.; Jarman, E. G.; Blacksell, S. D.; Nosten, F. H.",,,A prospective evaluation of diagnostic methodologies for the acute diagnosis of dengue virus infection on the Thailand-Myanmar border,,,ResearchGate,105,,32,37,,,,2010,,,,,1
245,A245,NA,NA,NA,NA,NA,NA,NA,J,"Weber, J S; Fritz, J; Denger, A; Maletz, M; Zingel, C; Denger, D",,,Synergien in der modellbasierten Antriebsstrang-und Testsystem-Entwicklung-Model-Based Systems Engineering in der industriellen Anwendung. Conference Paper,,,ResearchGate,,,,,,,November,2014,,,,,1
246,A246,NA,NA,NA,NA,NA,NA,NA,J,,"Wikipedia, ResearchGate",,,,,RESEARCHGATE,,,,,,,,NA,,,,,1
247,A247,NA,NA,NA,NA,NA,NA,NA,J,"Wilson, M.; Zolfaghari, P.; Griffin, C.; Lockey, D.; Tolias, C.; Verma, V.",,,The future of traumatic brain injury research,,,ResearchGate,22,1,766,766,,,Dec,2014,,,,,1
248,A248,NA,NA,NA,NA,NA,NA,NA,J,"Wolpert, D. H.; Macready, W. G.",,,Self-Dissimilarity: An Empirical Measure of Complexity,,,ResearchGate,,,,,,,,1998,,,,,1
249,A249,NA,NA,NA,NA,NA,NA,NA,J,"Xi, B. Y.; Bai, S. P.; Qi, F.",,,,,,"Some new inequalities of Hermite-Hadamard type for (a, mi)-(s, m2)-convex functions on coordinates",,,,,,,,NA,,,,,1
250,A250,NA,NA,NA,NA,NA,NA,NA,J,"Xiao, Y.; Wehrs, J.; Ma, H.; Al-Samman, T.; Korte-Kerzel, S.; Gken, M.; Michler, J.; Spolenak, R.; Wheeler, J.M.",,,Investigation of the deformation behavior of aluminum micropillars produced by focused ion beam machining using Ga and Xe ions,,,ResearchGate,,,,,,,,2016,,,,,1
251,A251,NA,NA,NA,NA,NA,NA,NA,J,"Yang, M.; Blyth, W.",,,Modeling Investment Risks and Uncertainties with Real-Options Approach,,,ResearchGate,,,,,,,Jan.,2007,,,,,1
252,A252,NA,NA,NA,NA,NA,NA,NA,J,"Yin, H.; Schonhals, A.",,,Broadband Dielectric Spectroscopy on Polymer Blends,,,ResearchGate,,,,,,,,2014,,,,,1
253,A253,NA,NA,NA,NA,NA,NA,NA,J,"Young, M D; Wakefield, M J; Smyth, G K; Oshlack, A",,,Goseq: gene ontology testing for RNA-seq datasets,,,ResearchGate,,,1,26,,,,2012,,,,,2
254,A254,NA,NA,NA,NA,NA,NA,NA,J,"Yuzhakov, V.V.",,,The AdminPenTM microneedle device for painless & convenient drug delivery,,,Drug Deliv.ery Technol,10,4,32,36,,,,2010,,,,,3
255,A255,NA,NA,NA,NA,NA,NA,NA,J,"Zhan, Jianfeng",,,,,,"Big Data Benchmarks, Performance Optimization, and Emerging Hardware: 4th and 5th Workshops",,,,,,,,2014,,,,,1
256,A256,NA,NA,NA,NA,NA,NA,NA,J,"Zhang, D; Li, N; Zhou, ZH; Chen, C; Sun, L; Li, S",,,iBAT: detecting anomalous taxi trajectories from GPS traces. IBAT: detecting anomalous taxi trajectories from GPS traces,,,ResearchGate,,,99,108,,,,2011,,,,,1
