CID,AID,CitedAs,Locatable,PT,AU,BA,BE,GP,AF,BF,TI,SO,SE,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
C468,A267,Title,Yes,J,"Mondini, V; Mangia, AL; Cappello, A",NA,NA,NA,"Mondini, Valeria; Mangia, Anna Lisa; Cappello, Angelo",NA,"Single-session tDCS over the dominant hemisphere affects contralateral spectral EEG power, but does not enhance neurofeedbackguided event-related desynchronization of the non-dominant hemisphere's sensorimotor rhythm",PLOS ONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Background and objective Transcranial direct current stimulation (tDCS) and neurofeedback-guided motor imagery (MI) have attracted considerable interest in neurorehabilitation, given their ability to influence neuroplasticity. As tDCS has been shown to modulate event-related desynchronization (ERD), the neural signature of motor imagery detected for neurofeedback, a combination of the techniques was recently proposed. One limitation of this approach is that the area targeted for stimulation is the same from which the signal for neurofeedback is acquired. As tDCS may interfere with proximal electroencephalographic (EEG) electrodes, in this study our aim was to test whether contralateral tDCS could have interhemispheric effects on the spectral power of the unstimulated hemisphere, possibly mediated by transcallosal connection, and whether such effects could be used to enhance ERD magnitudes. A contralateral stimulation approach would indeed facilitate co-registration, as the stimulation electrode would be far from the recording sites. Methods Twenty right-handed healthy volunteers (aged 21 to 32) participated in the study: ten assigned to cathodal, ten to anodal versus sham stimulation. We applied stimulation over the dominant (left) hemisphere, and assessed ERD and spectral power over the non-dominant (right) hemisphere. The effect of tDCS was evaluated over time. Spectral power was assessed in theta, alpha and beta bands, under both rest and MI conditions, while ERD was evaluated in alpha and beta bands. Results Two main findings emerged: (1) contralateral alpha-ERD was reduced after anodal (p = 0.0147), but not enhanced after cathodal tDCS; (2) both stimulations had remote effects on the spectral power of the contralateral hemisphere, particularly in theta and alpha ( significant differences in the topographical t-value maps). Conclusion The absence of contralateral cathodal ERD enhancement suggests that the protocol is not applicable in the context of MI training. Nevertheless, ERD results of anodal and spectral power results of both stimulations complement recent findings on the distant tDCS effects between functionally related areas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA,NA,NA,7-Mar,2018,13,3,NA,NA,NA,NA,NA,e0193004,10.1371/journal.pone.0193004,NA,NA,NA,NA,NA,NA,NA,WOS:000426896800029,29513682,NA,NA,NA,NA
C469,A268,Title,Yes,B,"Schon, B",NA,NA,IEEE,"Schon, Balint",NA,Developing performance of waste water source heat pump systems by heat transport investigation,2017 6TH INTERNATIONAL YOUTH CONFERENCE ON ENERGY (IYCE),NA,NA,NA,6th International Youth Conference on Energy (IYCE),"JUN 21-24, 2017","Budapest, HUNGARY",NA,NA,NA,NA,"The share of the building sector in developed countries accounts for 30-40% of the total energy consumption. Space heating and cooling and domestic hot water supply represent the biggest share in energy consumed. Despite its low enthalpy content, sewage water - what is seen as a renewable resource could represent an interesting source for energy especially when heat pumps are applied. In the early 1980s, waste (sewage) water source heat pumps (WWSHPs) were widely applied in Sweden and Norway and partially applied in China. Due to the technical development (heat exchangers and heat pumps) and strengthening of environmental considerations in the past two decades, it has become increasingly popular. The heat pump part of the construction does not vary widely but the utilization rate mostly depends on the evolution and design of the heat exchanger side. First, a brief review of wastewater heat exchangers and construction applications is presented. This is followed by a demonstration of Hungarian-developed Thermowatt technology. To make this technology - which utilizes the great potential of densely populated cities - economically feasible, we need to increase the efficiency to minimize the payback period due by the lower operation cost. In this study, the heat transport process is investigated, which is the key element of the system's efficiency. The aim of my study is to improve the technology and increase the system efficiency. By clarifying the complex physical and biological method, biofilm creating and developing, there is opportunity to prevent the emergence of biofilm. The literature research, the measurement in laboratory and the collected information about the operating system shows the magnitude of different physical parameters, and other circumstances. It is concluded that from the two negative effects, physical fouling is stronger than the biofilm created on the inner surface of heat exchanger tubes, but the latter should not be neglected. Finally, different suggestions were listed at both areas to eliminate or weaken these influences. Thanks to these, the amount of heat that is transported is increased and ultimately less electricity is needed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5090-6409-0,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000425930300003,NA,NA,NA,NA,NA
C470,A269,Title,Yes,B,"Odia, T; Misra, S; Adewumi, A",NA,NA,IEEE,"Odia, Trust; Misra, Sanjay; Adewumi, Adewole",NA,Evaluation of Hadoop/Mapreduce Framework Migration Tools,2014 ASIA-PACIFIC WORLD CONGRESS ON COMPUTER SCIENCE AND ENGINEERING (APWC ON CSE),NA,NA,NA,Asia Pacific World Congress Computer Science Engineering,"NOV 04-05, 2014","Nadi, FIJI",NA,NA,NA,NA,"In distributed systems, database migration is not an easy task. Companies will encounter challenges moving data including legacy data to the big data platform. This paper reviews some tools for migrating from traditional databases to the big data platform and thus suggests a model, based on the review.",NA,NA,NA,"Misra, Sanjay/K-2203-2014","Misra, Sanjay/0000-0002-3556-9331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-4799-1955-0,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000380463500037,NA,NA,NA,NA,NA
C471,A270,Title,Yes,S,"Franken, T; Blanckaert, J; Leyssen, G",NA,"Lang, M; Klijn, F; Samuels, P",NA,"Franken, Tim; Blanckaert, Joris; Leyssen, Gert",NA,Synthetic events for flood risk calculation by using a nested Copula structure,3RD EUROPEAN CONFERENCE ON FLOOD RISK MANAGEMENT (FLOODRISK 2016),E3S Web of Conferences,NA,NA,3rd European Conference on Flood Risk Management (FLOODrisk),"OCT 17-21, 2016","Lyon, FRANCE",NA,NA,NA,NA,"Risk analysis requires considering the entire frequency domain of flood consequences. Synthetic events were generated for the entire river system of the Scheldt estuary. This estuary contains multiple navigable waterways and is situated in Belgium and the Netherlands. Extreme water levels are influenced by rainfall-runoff discharges, tiding, storm surges, and wind speed and direction. For the generation of hydraulic boundary conditions for flood risk assessment, these influences and their mutual dependencies and correlations are taken into account by means of a nested extreme value copula structure. The variation in time is taken into account by standardized profiles, computed by normalizing all recorded extreme events and fitting a probability distribution to the variation of the standardized events, yielding 5 profile classes through another stratification. Eventually this resulted in a total of 1920 sets of synthetic events. All events were run through the hydrodynamic model of the river system. The frequency distribution of the resulting water levels are calculated by accumulation of the corresponding probabilities of occurrence of the synthetic events at each location. The methodology has the advantage that it determines a statistical distribution of consequences, rather than assigning frequencies to hydrodynamic boundary conditions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2267-1242,NA,NA,NA,NA,NA,2016,7,NA,NA,NA,NA,NA,NA,UNSP 01005,10.1051/e3sconf/20160701005,NA,NA,NA,NA,NA,NA,NA,WOS:000392270100005,NA,NA,NA,NA,NA
C472,A271,Original,Yes,J,"Sirjani, R",NA,NA,NA,"Sirjani, Reza",NA,Optimal Capacitor Placement in Wind Farms by Considering Harmonics Using Discrete Lightning Search Algorithm,SUSTAINABILITY,NA,English,Article,NA,NA,NA,NA,NA,wind farm; reactive power; capacitor; harmonics; lightening search algorithm,RADIAL-DISTRIBUTION NETWORKS; DISTRIBUTION-SYSTEMS; MICROGRID DISTRIBUTION; POWER; COMPENSATION; LOCATION; VOLTAGE,"Currently, many wind farms exist throughout the world and, in some cases, supply a significant portion of energy to networks. However, numerous uncertainties remain with respect to the amount of energy generated by wind turbines and other sophisticated operational aspects, such as voltage and reactive power management, which requires further development and consideration. To fix the problem of poor reactive power compensation in wind farms, optimal capacitor placement has been proposed in existing wind farms as a simple and relatively inexpensive method. However, the use of induction generators, transformers, and additional capacitors represent potential problems for the harmonics of a system and therefore must be taken into account at wind farms. The optimal location and size of capacitors at buses of an 80-MW wind farm were determined according to modelled wind speed, system equivalent circuits, and harmonics in order to minimize energy losses, optimize reactive power and reduce the management costs. The discrete version of the lightning search algorithm (DLSA) is a powerful and flexible nature-inspired optimization technique that was developed and implemented herein for optimal capacitor placement in wind farms. The obtained results are compared with the results of the genetic algorithm (GA) and the discrete harmony search algorithm (DHSA).","[Sirjani, Reza] Eastern Mediterranean Univ, Dept Elect & Elect Engn, Mersin 10, TR-99628 Gazimagusa, Turkey","Sirjani, R (reprint author), Eastern Mediterranean Univ, Dept Elect & Elect Engn, Mersin 10, TR-99628 Gazimagusa, Turkey.",reza.sirjani@emu.edu.tr,NA,NA,NA,NA,35,1,1,0,2,MDPI AG,BASEL,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",2071-1050,NA,NA,SUSTAINABILITY-BASEL,Sustainability,SEP,2017,9,9,NA,NA,NA,NA,NA,1669,10.3390/su9091669,NA,NA,NA,20,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; Environmental Sciences; Environmental Studies,Science & Technology - Other Topics; Environmental Sciences & Ecology,FI0MT,WOS:000411621200162,NA,DOAJ Gold,NA,NA,11/11/2018
C473,A271,Title,Yes,B,"Upadhyay, G; Saxena, R; Joshi, G",NA,"Elangovan, S",NA,"Upadhyay, Garvita; Saxena, Rachit; Joshi, Gaurav",NA,Optimal Capacitor Placement and Sizing in Distribution System Using Hybrid Approach of PSO-GA,PROCEEDINGS OF 2017 IEEE INTERNATIONAL CONFERENCE ON ADVANCES IN ELECTRICAL TECHNOLOGY FOR GREEN ENERGY (ICAETGT),NA,English,Proceedings Paper,IEEE International Conference on Advances in Electrical Technology for Green Energy (ICAETGT),23-Sep-17,"Coimbatore, INDIA",IEEE,NA,Distributed Power station; Newton Raphson; Capacitor Placement; Power Loss,NA,"A distributed system is referred as an interface among bulky power system and consumers. In such distributed systems the voltage of the power grid is decreased when it moves at far from substations. Other problems are loss of power during transmission, variable voltage profile, increasing cost of system etc. Capacitors are used for performance enhancement of the system. Because all of these factors or problems directly affected by performance or energy efficiency of the system. There are various methods which are used for optimal placement of the capacitors in distributed power system. In this work the hybrid approach which combines two techniques such as GA and State transition have been developed in order to achieve the energy efficient distributed system. The result section proves the performance of proposed work by comparing the various techniques with proposed work.","[Upadhyay, Garvita; Saxena, Rachit] Rajasthan Coll Engn Women, Dept Elect Engn, Jaipur, Rajasthan, India; [Joshi, Gaurav] Dept Elect & Commun Engn, Delhi, India","Upadhyay, G (reprint author), Rajasthan Coll Engn Women, Dept Elect Engn, Jaipur, Rajasthan, India.",garvita.up@gmail.com,NA,NA,NA,NA,23,0,0,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",NA,NA,978-1-5386-2138-7,NA,NA,NA,2017,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,6,"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; Energy & Fuels; Engineering, Electrical & Electronic",Science & Technology - Other Topics; Energy & Fuels; Engineering,BK1WD,WOS:000432325500001,NA,NA,NA,NA,11/11/2018
C474,A271,Original,Yes,B,"Basyarach, NA; Penangsang, O; Soeprijanto, A",NA,NA,IEEE,"Basyarach, Niken Adriaty; Penangsang, Ontoseno; Soeprijanto, Adi",NA,Optimal Capacitor Placement and Sizing in Radial Distribution System Using Accelerated Particle Swarm Optimization,2017 INTERNATIONAL SEMINAR ON INTELLIGENT TECHNOLOGY AND ITS APPLICATIONS (ISITIA),NA,English,Proceedings Paper,International Seminar on Intelligent Technology and Its Applications (ISITIA),"AUG 28-29, 2017","Surabaya, INDONESIA",IEEE,NA,accelerated particle swarm optimization (APSO); capacitor placement; loss sensitivity factors (LSF); radial distribution system,NA,"In this study, the problems are how to determine the locations and the size of capacitors in the buses of radial distribution system. The proposed method uses loss sensitivity factors (LSF) to identify the buses requiring compensation and then an accelerated particle swarm optimization (APSO) algorithm is used to determine the sizes of the capacitors to be installed. The proposed method is tested on 84 distribution systems. Absolutely, it is compared with PSO algorithm to find out the performance of convergence. By using proposed method, it could reach 99.79 second computational time. It showed that proposed method has good performance of convergence than PSO algorithm.","[Basyarach, Niken Adriaty; Penangsang, Ontoseno; Soeprijanto, Adi] Inst Teknol Sepuluh Nopember, Dept Elect Engn, Surabaya, Indonesia","Basyarach, NA (reprint author), Inst Teknol Sepuluh Nopember, Dept Elect Engn, Surabaya, Indonesia.",nikenbasyarach@gmail.com; ontosenop@ee.its.ac.id; adisup@ee.its.ac.id,NA,NA,NA,NA,9,0,0,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",NA,NA,978-1-5386-2708-2,NA,NA,NA,2017,NA,NA,NA,NA,NA,93,97,NA,NA,NA,NA,NA,5,"Computer Science, Artificial Intelligence; Computer Science, Theory & Methods; Engineering, Electrical & Electronic",Computer Science; Engineering,BJ5IA,WOS:000425927700018,NA,NA,NA,NA,11/11/2018
C475,A271,Original,Yes,J,"Su, XJ; Masoum, MAS; Wolfs, PJ",NA,NA,NA,"Su, Xiangjing; Masoum, Mohammad A. S.; Wolfs, Peter J.",NA,PSO and Improved BSFS Based Sequential Comprehensive Placement and Real-Time Multi-Objective Control of Delta-Connected Switched Capacitors in Unbalanced Radial MV Distribution Networks,IEEE TRANSACTIONS ON POWER SYSTEMS,NA,English,Article,NA,NA,NA,NA,NA,Capacitor switching; optimization methods; power capacitors; power distribution planning; power quality,DISTORTED DISTRIBUTION NETWORKS; PARTICLE SWARM OPTIMIZATION; DISTRIBUTION-SYSTEMS; REPLACEMENT; ALLOCATION; BANKS,"Delta-connected switched capacitors are common in three-wire MV distribution systems as found in Europe and Australia but the majority of past studies focus on star-connected capacitors as applied in North America. This study presents a comprehensive optimization based sequential strategy and a multi-objective optimization based real-time strategy for the optimal placement and control of delta-connected switched capacitors. Considering load variations, a comprehensive optimization for capacitor placement is formulated to maximize the net annual returns from network loss reduction and capacity release. A sequential strategy based on loss sensitivity analysis is presented for efficient capacitor placement on large-scale unbalanced distribution networks. Then a capacitor control strategy is proposed to simultaneously minimize network losses, voltage deviations and voltage unbalance factor (VUF) while a weighted sum method reflects the preferences on the mutually conflicting control objectives. For the mixed integer programming (MIP) problems of capacitor placement and control, an improved backward/forward sweep (BSFS) load flow based particle swarm optimization (PSO) method is used. Finally, the robustness of the proposed capacitor placement and control strategies are verified by comparison against existing popular schemes through detailed simulations over 24 h on a real unbalanced Australian MV network.","[Su, Xiangjing; Masoum, Mohammad A. S.] Curtin Univ, Dept Elect & Comp Engn, Ctr Smart Grid & Sustainable Power Syst, Perth, WA 6102, Australia; [Wolfs, Peter J.] Cent Queensland Univ, Sch Engn & Technol, Rockhampton, Qld 4702, Australia","Su, XJ (reprint author), Curtin Univ, Dept Elect & Comp Engn, Ctr Smart Grid & Sustainable Power Syst, Perth, WA 6102, Australia.",xiangjing.su@gmail.com; m.masoum@curtin.edu.au; p.wolfs@cqu.edu.au,NA,NA,NA,NA,28,5,5,0,9,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",0885-8950,1558-0679,NA,IEEE T POWER SYST,IEEE Trans. Power Syst.,JAN,2016,31,1,NA,NA,NA,612,622,NA,10.1109/TPWRS.2015.2398361,NA,NA,NA,11,"Engineering, Electrical & Electronic",Engineering,CZ7RQ,WOS:000367298100060,NA,NA,NA,NA,11/11/2018
C476,A271,Original,Yes,J,"Injeti, SK; Thunuguntla, VK; Shareef, M",NA,NA,NA,"Injeti, Satish Kumar; Thunuguntla, Vinod Kumar; Shareef, Meera",NA,Optimal allocation of capacitor banks in radial distribution systems for minimization of real power loss and maximization of network savings using bio-inspired optimization algorithms,INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,NA,English,Article,NA,NA,NA,NA,NA,Bio-inspired algorithms; Capacitor banks; Real power loss minimization; Network savings maximization; Radial distribution systems,SEARCH ALGORITHM; PLACEMENT,"In this paper, two new algorithms are implemented to solve optimal placement of capacitors in radial distribution systems in two ways that is, optimal placement of fixed size of capacitor banks (Variable Locations Fixed Capacitor banks-VLFQ) and optimal sizing and placement of capacitors (Variable Locations Variable sizing of Capacitors-VLVQ) for real power loss minimization and network savings maximization. The two bio-inspired algorithms Bat Algorithm (BA) and Cuckoo Search (CS): search for all possible locations in the system along with the different sizes of capacitors, in which the optimal sizes of capacitor are chosen to be standard sizes that are available in the market. To check the feasibility, the proposed algorithms are applied on standard 34 and 85 bus radial distribution systems. And the results are compared with results of other methods like Particle Swarm Optimization (PSO), Harmonic Search (HS), Genetic Algorithm (GA), Artificial Bee Colony (ABC), Teaching Learning Based Optimization (TLBO) and Plant Growth Simulation Algorithm (PGSA), as available in the literature. The proposed approaches are capable of producing high-quality solutions with good performance of convergence. The entire simulation has been developed in MATLAB R2010a software. (C) 2015 Elsevier Ltd. All rights reserved.","[Injeti, Satish Kumar; Thunuguntla, Vinod Kumar; Shareef, Meera] Sir CR Reddy Coll Engn, Dept Elect & Elect Engn, West Godavari 534007, Andhra Pradesh, India","Injeti, SK (reprint author), Sir CR Reddy Coll Engn, Dept Elect & Elect Engn, West Godavari 534007, Andhra Pradesh, India.",satish_injeti@yahoo.com; vinod191@gmail.com; sd.meerasharif@gmail.com,NA,NA,NA,NA,23,22,22,0,14,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0142-0615,1879-3517,NA,INT J ELEC POWER,Int. J. Electr. Power Energy Syst.,JUL,2015,69,NA,NA,NA,NA,441,455,NA,10.1016/j.ijepes.2015.01.040,NA,NA,NA,15,"Engineering, Electrical & Electronic",Engineering,CD7DO,WOS:000351251200048,NA,NA,NA,NA,11/11/2018
C477,A271,Original,Yes,J,"Sirjani, R; Bade, MG",NA,NA,NA,"Sirjani, Reza; Bade, Melkamu Gamene",NA,A global harmony search algorithm for finding optimal capacitor location and size in distribution networks,JOURNAL OF CENTRAL SOUTH UNIVERSITY,NA,English,Article,NA,NA,NA,NA,NA,optimal capacitor placement; harmonics; unbalancing; harmony search algorithm,3-PHASE DISTRIBUTION-SYSTEMS; RADIAL-DISTRIBUTION NETWORKS; OPTIMAL PLACEMENT; COLONY ALGORITHM; OPTIMIZATION; STABILITY; BANKS,"Shunt capacitors are broadly applied in distribution systems to scale down power losses, improve voltage profile and boost system capacity. The amount of capacitors added and location of deployment in the system highly determine the advantage of compensation. A novel global harmony search (GHS) algorithm in parallel with the backward/ forward sweep power flow technique and radial harmonic power flow was used to investigate the optimal placement and sizing of capacitors in radial distribution networks for minimizing power loss and total cost by taking account load unbalancing, mutual coupling and harmonics. The optimal capacitor placement outcomes show that the GHS algorithm can reduce total power losses up to 60 kW and leads to more than 18% of cost saving. The results also demonstrate that the GHS algorithm is more effective in minimization of power loss and total costs compared with genetic algorithm (GA), particle swarm optimization (PSO) and harmony search (HS) algorithm. Moreover, the proposed algorithm converges within 800 iterations and is faster in terms of computational time and gives better performance in finding optimal capacitor location and size compared with other optimization techniques.","[Sirjani, Reza; Bade, Melkamu Gamene] Cyprus Int Univ, Fac Engn, TR-10 Northern Cyprus, Mersin, Turkey","Sirjani, R (reprint author), Cyprus Int Univ, Fac Engn, TR-10 Northern Cyprus, Mersin, Turkey.",rsirjani@ciu.edu.tr,"SIRJANI, REZA/J-8091-2015",NA,NA,NA,45,2,2,0,3,JOURNAL OF CENTRAL SOUTH UNIV TECHNOLOGY,HUNAN,"EDITORIAL OFFICE, CHANGSHA, HUNAN 410083, PEOPLES R CHINA",2095-2899,1993-0666,NA,J CENT SOUTH UNIV,J. Cent. South Univ.,MAY,2015,22,5,NA,NA,NA,1748,1761,NA,10.1007/s11771-015-2693-5,NA,NA,NA,14,Metallurgy & Metallurgical Engineering,Metallurgy & Metallurgical Engineering,CI8AF,WOS:000354988900019,NA,NA,NA,NA,11/11/2018
C478,A271,Original,Yes,B,"Farsadi, M; Dizaji, TS; Hosseinnejad, H",NA,NA,IEEE,"Farsadi, Mortaza; Dizaji, Tohid Sattarpour; Hosseinnejad, Hadi",NA,Capacitor Allocation in Order to Maximize the Loss Reduction Benefit and Improve the Voltage Profile Based on NSGA-II,2015 9TH INTERNATIONAL CONFERENCE ON ELECTRICAL AND ELECTRONICS ENGINEERING (ELECO),NA,English,Proceedings Paper,9th International Conference on Electrical and Electronics Engineering (ELECO),"NOV 26-28, 2015","Bursa, TURKEY","Chamber Elect Engineers Bursa Branch, Istanbul Techn Univ, Fac Elect & Elect Engn, Uludag Univ, Dept Elect & Elect Engn, IEEE, Reg 8, IEEE Turkey Sect, CAS Chapter, Sci & Technol Res Council Turkey",NA,NA,RADIAL-DISTRIBUTION NETWORKS; DISTRIBUTION-SYSTEMS; GENETIC ALGORITHM; PLACEMENT; OPTIMIZATION,"For many years, using capacitor as generally was one of the big challenges in electrical industrials. Some of these problems refer to economical and other ones are based on technical limits. Capacitor placement is a challenge that define as the base of capacitors problems, is considered in this paper. In this paper, in order to maximizing the loss reduction benefit and voltage profile improvement simultaneously, considering different percentages of peak load and electricity prices have been studied. Also, a probabilistic load model at each load state is assumed in this paper instead of utilizing time-series based models. Moreover, optimum numbers of capacitors should be used in each load state in order to optimizing the problem. Therefore, it is used non-dominated genetic algorithm version II (NSGA-II) to solve the problems under study. NSGA-II is used for a typical network by considering possibilities. The effectiveness of the proposed scheduling approach verified on IEEE 33-bus distribution test system over the planning period. Here the most important part is modeling the probability of load, which can say the load's behavior is most of the time follow that.","[Farsadi, Mortaza; Dizaji, Tohid Sattarpour] Urmia Univ, Orumiyeh, Iran; [Hosseinnejad, Hadi] Islamic Azad Univ, Urmia Branch, Dept Elect Power Engn, Orumiyeh, Iran","Farsadi, M (reprint author), Urmia Univ, Orumiyeh, Iran.",m.farsadi@urmia.ac.ir; t.sattarpur@yahoo.com; h.hosseinnejad@iaurmia.ac.ir,NA,NA,NA,NA,20,1,1,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,515,520,NA,NA,NA,NA,NA,6,"Engineering, Electrical & Electronic",Engineering,BF1MT,WOS:000380410800094,NA,NA,NA,NA,11/11/2018
C479,A271,Original,Yes,J,"El-Fergany, AA; Abdelaziz, AY",NA,NA,NA,"El-Fergany, Attia A.; Abdelaziz, Almoataz Y.",NA,Capacitor allocations in radial distribution networks using cuckoo search algorithm,IET GENERATION TRANSMISSION & DISTRIBUTION,NA,English,Article,NA,NA,NA,NA,NA,NA,DISTRIBUTION-SYSTEMS; LOSS REDUCTION; PLACEMENT; OPTIMIZATION; RECONFIGURATION,NA,"[El-Fergany, Attia A.] Zagazig Univ, Fac Engn, Dept Elect Power & Machines, Zagazig, Egypt; [Abdelaziz, Almoataz Y.] Ain Shams Univ, Fac Engn, Dept Elect Power & Machines, Cairo, Egypt","El-Fergany, AA (reprint author), Zagazig Univ, Fac Engn, Dept Elect Power & Machines, Zagazig, Egypt.",el_fergany@yahoo.com,"El-Fergany, Attia/O-8205-2015","El-Fergany, Attia/0000-0003-3476-1361; Abdelaziz, Almoataz/0000-0001-5903-5257",NA,NA,25,40,40,0,15,INST ENGINEERING TECHNOLOGY-IET,HERTFORD,"MICHAEL FARADAY HOUSE SIX HILLS WAY STEVENAGE, HERTFORD SG1 2AY, ENGLAND",1751-8687,1751-8695,NA,IET GENER TRANSM DIS,IET Gener. Transm. Distrib.,FEB,2014,8,2,NA,NA,NA,223,232,NA,10.1049/iet-gtd.2013.0290,NA,NA,NA,10,"Engineering, Electrical & Electronic",Engineering,AA5JG,WOS:000331131300003,NA,NA,NA,NA,11/11/2018
C480,A271,Original,Yes,S,"Lucache, DD; Moisa, C; Lobry, J",NA,NA,IEEE,"Lucache, Dorin D.; Moisa, Cristina; Lobry, Jacques",NA,Economic Apraisal of Optimal Location and Sizing of Capacitors in Radial Distribution Systems Using PSO,2014 INTERNATIONAL CONFERENCE ON APPLIED AND THEORETICAL ELECTRICITY (ICATE),International Conference on Applied and Theoretical Electricity,English,Proceedings Paper,International Conference on Applied and Theoretical Electricity (ICATE),"OCT 23-25, 2014","Craiova, ROMANIA","Univ Craiova, Fac Elect Engn, Inst Elect & Elect Engineers, IEEE Romania Sect, IEEE Romanian Chapter EMB Soc, IEEE Romanian Chapter EMC Soc, IEEE Romanian Chapter MAG Soc, IEEE Romanian Chapter PE Soc, Minist Natl Educ, Assoc Support Engn Educ",NA,capacitors; distribution system; particle swarm optimization; economic profitability,NA,"The principal roles of capacitors in power systems are to supply reactive power to minimize loss and to improve the voltage profile. The optimization problem has to find the appropriate placement of capacitors that lead both to minimal system power losses and minimal total capacitor costs. This problem is largely presented in literature and is commonly solved using heuristic optimization techniques. However, the project profitability depends on prices and economical context. In this paper, a project economical appraisal was combined with the particle swarm optimization (PSO) technique in order to assess the profitability of the optimal capacitor installation in a 33-bus distribution network. A comparison between two objective functions and different locations numbers to install capacitor banks has been done.","[Lucache, Dorin D.; Moisa, Cristina] Gheorghe Asachi Tech Univ Iasi, Fac Elect Engn, Iasi, Romania; [Lobry, Jacques] Univ Mons, Polytech Fac, Dept Elect Engn, B-7000 Mons, Belgium","Lucache, DD (reprint author), Gheorghe Asachi Tech Univ Iasi, Fac Elect Engn, Iasi, Romania.",lukake@tuiasi.ro; cristina.m.moisa@gmail.com; Jacques.Lobry@umons.ac.be,"LUCACHE, Dorin Dumitru/A-4746-2018","LUCACHE, Dorin Dumitru/0000-0002-6060-117X",NA,NA,15,0,0,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",2376-4163,NA,978-1-4799-4161-2,INT CONF APPL THEOR,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Engineering, Electrical & Electronic",Engineering,BC4MW,WOS:000352737400038,NA,NA,NA,NA,11/11/2018
