"","AID","CID","CitedAs","Locatable","CitationDetail_RG","FulltextAvailable","DOI_RG","AuthorUpload","SourcePubs","SourcePreprint","SourceRepo","SourceWebsite","SourceURl","SourceDOI","ItemClass","Copyrighted","Licensed","HCISI","PT","AU","BA","CA","GP","RI","OI","BE","Z2","TI","X1","Y1","Z1","FT","PN","AE","Z3","SO","S1","SE","BS","VL","IS","SI","MA","BP","EP","AR","DI","D2","SU","PD","PY","AB","X4","Y4","Z4","AK","CT","CY","SP","CL","TC","Z8","ZB","ZS","Z9","SN","BN","UT","PM"
"601","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"602","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"603","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"604","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"605","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"606","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"607","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"608","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"609","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6010","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6011","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6012","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6013","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6014","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6015","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6016","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6017","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6018","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6019","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6020","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6021","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6022","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6023","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6024","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6025","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6026","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6027","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6028","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6029","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6030","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6031","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6032","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6033","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6034","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6035","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6036","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6037","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6038","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6039","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6040","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6041","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6042","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6043","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6044","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6045","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6046","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6047","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6048","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
