,AID,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
98,A127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Iftekhar, S.; Srivastava, V.; Sillanpaa, M.",NA,NA,NA,Synthesis and application of LDH intercalated cellulose nanocomposite for separation of rare earth elements (REEs),NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
99,A128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Indrabayu, N.; Harun, M. S.; Pallu; Achmad, A.",NA,NA,NA,Statistic Approach versus Artificial Intelligence for Rainfall Prediction Based on Data Series,NA,NA,ResearchGate,5,2,1962,1969,NA,NA,Apr.,2013,NA,NA,NA,NA,1
100,A129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Irina, R.; Joseph, H.; Jayram, T.",NA,NA,NA,An analysis of data characteristics that affect naive Bayes performance,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,1
101,A130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Iryanto, I.; Hermawan; Syakur, A.",NA,NA,NA,Studi Pengaruh Penuaan (Aging) Terhadap Laju Degradasi Kualitas Minyak Isolasi Transformator Tenaga,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Januari,2016,NA,NA,NA,NA,1
102,A131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Jagannathan, L; Cuddapah, S; Costa, M",NA,NA,NA,Oxidative stress under ambient and physiological oxygen tension in tissue culture,NA,NA,ResearchGate.,NA,NA,NA,NA,NA,DOI 10.1007/S40495-016-0050-5,NA,2016,NA,NA,NA,NA,1
103,A132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Jaiswal, M; Gandhi, A; Sharma, A; Mittal, SR",NA,NA,NA,Spectrum of complex non-missile penetrating spinal injury: a series of four cases with review of literature,NA,NA,ResearchGate,5,NA,25,34,NA,NA,NA,2014,NA,NA,NA,NA,1
104,A133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Jakobek, L.; Seruga, M.; Novak, I.; Medvidovic-Kosanovic, M.",NA,NA,NA,NA,NA,NA,Research Gate,103,NA,1,1,NA,NA,NA,2007,NA,NA,NA,NA,1
275,A134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Jesse, H.; Renee, B.; Anje, S.; Willem, C.; Ricardo, B.",NA,NA,NA,Coronary Artery Assessment by Multidectector Computed Tomography in patients with prosthetic heart valve,NA,NA,Research Gate,22,NA,1278,1286,NA,NA,Nov.,2012,NA,NA,NA,NA,1
105,A135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Jezerek, M.; Flear, M.; Moina, J.",NA,NA,NA,Laser multiple line triangulation system for real-time 3-D monitoring of chest wall during breathing,NA,NA,ResearchGate,54,7,NA,NA,503506,NA,Jan.,2008,NA,NA,NA,NA,1
106,A136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Johansson, G; Winroth, M",NA,NA,NA,Lean vs. Green manufacturing: similarities and differences,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2009,16th International Annual EurOMA Conference: Implementation-Realizing Operations Management Knowledge,NA,NA,NA,1
276,A137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Jovicic, J.; Zavaliangos, A.; Ko, F.",NA,NA,NA,Numerical modeling of impact behavior of integrated gradient design composite materials,NA,NA,Research Gate.,NA,NA,1,35,NA,NA,NA,2015,NA,NA,NA,NA,1
107,A138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kao, K. L.",NA,NA,NA,An advanced simulation tool- set for video transmission performance evaluation,NA,NA,ResearchGate,NA,NA,NA,NA,NA,DOI 10.1145/1190455.1190464,NA,2006,NA,NA,NA,NA,1
108,A139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Karimov, K. S.; Khalid, F. A.; Chani, M. T. S.; Mateen, A.; Hussain, M. A.; Maqbool, A.",NA,NA,NA,Carbon nanotubes based flexible temperature sensors,NA,NA,ResearchGate,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
277,A140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kavitha, G.; Ramani, G.; Dhass, P. K.; Aruna, R. M.",NA,NA,NA,"Oxidative stress, interleukin (IL- 6) and atherogenic index of plasma in diabetic nephropathy",NA,NA,Research Gate,2,NA,211,216,NA,NA,NA,2011,NA,NA,NA,NA,1
109,A141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kelly, O. D.; Anane, A.; Bernard, R.; Youssef, J. B.; Hahn, C.; Molpeceres, A.-H.; Carretero, C.; Jacquet, E.; Deranlot, C.; Bortolotti, P.; Lebourgois, R.; Mage, J.-C.; Loubens, G. de; Klein, O.; Cros, V.; Fert, A.",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
110,A142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kelsey, J.; Schneier, B.; Wagner, D.",NA,NA,NA,"Related-key cryptanalysis of 3-way,biham-des,cast, des-x, newdes, rc2, and tea",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,1
111,A143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kharisov, B. I.",NA,NA,NA,Dispersion of carbon nanotubes in water and non-aqueous solvents,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
112,A144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Khitun, A.; Nikonov, D. E.; Bao, M.; Galatsis, K.; Wang, K. L.",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
278,A145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kim, Kibum; Bolton, John; Girouard, Audrey; Cooperstock, Jeremy; Vertegaal, Roel",NA,NA,NA,Tele Human: Effects of 3D perspective on gaze and pose estimation with life-size cylindrical telepresence pod,NA,NA,research gate,NA,NA,NA,NA,NA,NA,January,2012,NA,NA,NA,NA,1
113,A146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kim, S. M.; Chong, J. W.; Jung, C. Y.; Jeon, T. H.; Park, J. H.; Kang, Y. J.; Jeong, S. H.; Kim, M. J.; Sung, D. K.",NA,NA,NA,Experiments on Interference and Coexistence between ZigBee and WLAN Devices Operating in the 2.4 GHz ISM Band,NA,NA,ResearchGate,1,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,1
114,A147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kincaid, RL",NA,NA,NA,Assessment of trace mineral status of ruminants: a review,NA,NA,ResearchGate,NA,NA,77,77,NA,NA,NA,1999,NA,NA,NA,NA,1
115,A148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kleimola, J.",NA,NA,NA,A RESTful Interface to a Mobile Phone,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,1
116,A149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Klein, D.",NA,NA,NA,An OpenFlow extension for the OMNeT++ INET framework,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
117,A150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kleinberg, S. C.; Arroyo, J. E.; Chih, K.; Scherer, S. S.",NA,NA,NA,"Na, K-ATPase isoforms in the PNS: Cell-type specific expression and internodal localization inmyelinated axons",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
118,A151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Knudsen, M. P.; Dalum, B.; Villumsen, G.",NA,NA,NA,NA,NA,NA,Two Faces of Absorptive Capacity Creation: Access and Utilisation of Knowledge,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,1
279,A152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kobmoo, N.",NA,NA,NA,"How can we extract the hemolymph from insects, especially from small ones like ants?",NA,NA,Research Gate,8,NA,19,19,NA,NA,NA,2012,NA,NA,NA,NA,1
119,A153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Koch, D.; Buchan, W.; Cnop, T.; Antwerp, U.",NA,NA,NA,Proper Pretreatment Systems Reduce Membrane Replacement Element Costs and Improve Reliability,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,1
120,A154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kolobukhina, LV; Nosik, NN; Merkulova, LN",NA,NA,NA,Time course of leukocyte interferon induction after single and repeated application of panavir,NA,NA,ResearchGate,8,NA,49,52,NA,NA,NA,2009,NA,NA,NA,NA,1
280,A155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kosnatha, S; dan Utomo, J. P.",NA,NA,NA,Komposisi dan Karakteristik Beton Geopolimer dari Fly Ash Tipe C dan Tipe F,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
281,A156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kraft, R.",NA,NA,NA,A maschine learning approach to improve precision for navigational queries in a web information retrieval system,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,1
121,A157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kumar, G.; Brar, S.; Kumar, R.; Kumar, A.",NA,NA,NA,A review: DWT-DCT technique and arithmetic-Huffman coding based image compression,NA,NA,ResearchGate,NA,NA,1,14,NA,NA,NA,2015,NA,NA,NA,NA,1
282,A158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kunc, V; Frame, B; Nguyen, BN",NA,NA,NA,Fiber Length Distribution Measurement for long Glass and Carbon Fiber Reinforced Injection Molded Thermoplastics,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
122,A159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kviesis-Kipge, E.; Curkste, E.; Spigulis, J.; Eihvalde, L.",NA,NA,NA,NA,NA,NA,ResearchGate,7715,NA,2010,2010,NA,NA,NA,2010,NA,NA,NA,NA,1
128,A160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Labruto, R.; Leroux, C",NA,NA,NA,NA,NA,NA,A green paper on legal issues in robotics,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
124,A161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lampel, J.; Mintzberg, H.",NA,NA,NA,Customizing Customization,NA,NA,ResearchGate,NA,NA,21,30,NA,NA,NA,1996,NA,NA,NA,NA,1
125,A162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lee, D.; Mani, M.; Chu, W. W.",NA,NA,NA,Solving Schema Conversion Problem between XML and Relational Models: Semantic Approach,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,/7,2003,NA,NA,NA,NA,1
127,A163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lee, S.; Nam, K.; Kim, K.",NA,NA,NA,NA,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,1
283,A164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Leomanni, M.",NA,NA,NA,NA,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,October,2012,NA,NA,NA,NA,1
284,A165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Li, C.; Lynn Ferguson, B.",NA,NA,NA,Stress Generation in an Axle Shaft during Induction Hardening,NA,NA,Research Gate,14,NA,1196,1196,NA,NA,NA,2014,NA,NA,NA,NA,1
129,A166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Li, G. W. Jia",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,4781,4781,NA,NA,NA,2007,NA,NA,NA,NA,1
130,A167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Li, L; Luo, Y",NA,NA,NA,Improved Video Moving Target Tracking Based on Camshift,NA,NA,ResearchGate,3,2,8,15,NA,NA,NA,2016,NA,NA,NA,NA,1
131,A168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lim, S.-J.; Jeong, Y.-Y.; Lee, C.-W.; Ho, Y.-S.",NA,NA,NA,Automatic segmentation of the liver in CT images using the watershed algorithm based on morphological filtering,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,(May) (,2004,NA,NA,NA,NA,1
132,A169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,LIN H,NA,NA,NA,NA,NA,NA,RESEARCHGATE,6,NA,270,NA,NA,DOI 10.1177/1555412010364981,NA,2011,NA,NA,NA,NA,1
285,A170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lin, D.",NA,NA,NA,An information-theoretic definition of similarity,NA,NA,Research Gate,1,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA,NA,1
133,A171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Linden, PF; Turner, JS",NA,NA,NA,"The formation of optimal vortex rings, and the efficiency of propulsion devices",NA,NA,ResearchGate,427,NA,61,72,NA,NA,NA,NA,NA,NA,NA,NA,1
134,A172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Liste, H.-H.; Felgentreu, D.",NA,NA,NA,"Crop growth, culturable bacteria, and degradation of petrol hydrocarbons (PHCs) in a long-term contaminated field soil",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,1
135,A173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Liu, B.; Wildman, R.; Tuck, C.; Ashcroft, I.; Hague, R.",NA,NA,NA,Investigaztion the effect of particle size distribution on processing parameters optimisation in selective laser melting process,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,2011,NA,NA,NA,NA,1
136,A174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Liwicki, M.; Graves, A.; Bunke, H.",NA,NA,NA,A novel approach to online handwriting recognition based on bidirectional long shortterm memory networks,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,1
286,A175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ljuhar, R.; Norman, B.; Ljuhar, D.; Dimaj, H. P.",NA,NA,NA,A novel feature selection algorithm based on bone micro architecture analysis to identify osteoarthritis,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,April,2016,NA,NA,NA,NA,1
138,A176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lopez-Lazaro, M",NA,NA,NA,Understanding cancer: 15 questions and answers,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
137,A177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lopez-Lazaro, M.",NA,NA,NA,NA,NA,NA,Pancreatic cancer formation is gradual,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,1
139,A178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lujan-Tangarife, J. A.; Cardona-Arias, J. A.",NA,NA,NA,Construction and validation of measurement scales in health: a review of psychometric properties,NA,NA,ResearchGate,11,NA,1,10,NA,NA,NA,2015,NA,NA,NA,NA,1
218,A179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"M, Thantawi A.; S, Wicaksana I. W.; L, Wulandari",NA,NA,NA,Query Rewriting Berbasis Semantik Menggunakan WordNet dan LCh pada Search Engine Google,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
287,A180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mao, K.",NA,NA,NA,Gear tooth contact analysis and the Application in the reduction of fatigue wear,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
140,A181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Margolin, L.",NA,NA,NA,NA,NA,NA,ResearchGate,1,NA,1,28,NA,NA,NA,2013,NA,NA,NA,NA,1
141,A182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
142,A183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Marquardt, W.",NA,NA,NA,NA,NA,NA,Traveling Waves in Chemical Processes,30,4,585,606,NA,NA,NA,1990,NA,NA,NA,NA,1
143,A184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Martinez, F.; Juanatey, B.",NA,NA,NA,The challenge of the strategy in its adaptation to the emerging phenomenon of Netcomunicacion,NA,NA,ResearchGate,NA,14,37,55,NA,NA,NA,2010,NA,NA,NA,NA,1
288,A185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Martinez, J.; Perez-Meana, H.; Escamilla, E.; Suzuki, M. M.",NA,NA,NA,Speaker recognition using Mel Frequency Cepstral Coefficients (MFCC) and Vector quantization (VQ) techniques,NA,NA,Research Gate,NA,NA,NA,NA,NA,DOI 10.1109/CONIELECOMP.2012.618991.8,NA,2012,NA,NA,NA,NA,1
289,A186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Masarati, P.; Morandini, M.; Riemenschneider, J.; Wierach, P.; Gluhih, S.; Barkanov, E.",NA,NA,NA,Optimal design active twist 1:2.5 scale rotor blade,NA,NA,Research Gate,NA,NA,4,7,NA,NA,NA,2004,NA,NA,NA,NA,1
144,A187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mateljevic, M.",NA,NA,NA,Note on rigidty of holomorphic mappings & Schwarz and Jack lemma,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,September,2015,NA,NA,NA,NA,1
145,A188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mathers, C.; Loncar, D",NA,NA,NA,Projections of Global Mortality and Burden of Disease from 2002 to 2030,NA,NA,ResearchGate,31,110,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,1
290,A189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Matsuda, J.; Maeda, T.; Abe, Y.; Nakamura, S.; Ohmiya, K",NA,NA,NA,Using the thermophilic aerobic processto decompose industrial food wastes,NA,NA,Research Gate,NA,NA,417,426,NA,NA,NA,1998,NA,NA,NA,NA,1
146,A190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Matveev, V",NA,NA,NA,What is your opinion on this paper?,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
147,A191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mayalarp, V.; Limpaswadpaisarn, N.; Poombansao, T.; Kittipiyakul, S.",NA,NA,NA,Wireless mesh networking with xbee,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,10,2014,NA,NA,NA,NA,1
148,A192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"McRobie, A",NA,NA,NA,NA,NA,NA,Rankine reciprocals with zero bars,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,3
149,A193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mehryar, N.; Ron, W.; Tek, M. N.",NA,NA,NA,The Use of Virtual Reality in Education,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,September,2004,NA,NA,NA,NA,1
150,A194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Meier, ML",NA,NA,NA,Using X-ray diffraction to measure changes in unit cell dimensions due to alloying,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,2
151,A195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,JOURNAL OF INVESTIGATIVE DERMATOLOGY,134,NA,S30,S30,NA,NA,14-Sep,2014,44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR),"SEP 10-13, 2014",European Soc Dermatol Res,"Copenhagen, DENMARK",9
152,A196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Michael, M. M.; Scott, M. L.",NA,NA,NA,Correction of a Memory Manage-ment Method for Lock-Free Data Structures,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Mar.,1996,NA,NA,NA,NA,1
153,A197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Milligan, M.",NA,NA,NA,Operating Reserves and Wind Power Integration: An International Comparison; Preprint,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan,2010,NA,NA,NA,NA,1
291,A198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mirghani, HO; Elbadawi, AS",NA,NA,NA,"Are diabetes mellitus, restless syndrome, and fibromyalgia related?",NA,NA,Research Gate,5,NA,208,215,NA,NA,NA,2016,NA,NA,NA,NA,1
292,A199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mirjalili, Seyedali; Mirjalili, Seyed Mohammad; Lewis, Andrew",NA,NA,NA,Let a Biogeography-Based Optimizer Train Your Multi-Layer Perceptron,NA,NA,Research Gate,NA,NA,188,209,NA,NA,NA,2014,NA,NA,NA,NA,1
293,A200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mishra, A. K.; Yadava, R.; Mishra, A.; Verma, A.",NA,NA,NA,NA,NA,NA,Research Gate,2,NA,NA,NA,974,NA,NA,2010,NA,NA,NA,NA,1
154,A201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mishra, R. K.",NA,NA,NA,"Soil pollution: Causes, effects and control",NA,NA,ResearchGate,3,1,NA,NA,NA,NA,January,2016,NA,NA,NA,NA,1
294,A202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mizuno, K; Fukai, I; Murata, T; Goto, T.",NA,NA,NA,Pulmonary pleomorphic carcinoma,NA,NA,Research Gate,65,NA,863,66,NA,NA,NA,2006,NA,NA,NA,NA,1
155,A203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Moffat, A. F. J.",NA,NA,NA,A Theoretical Investigation of Focal Stellar Images in the Photographic Emulsion and Application to Photographic Photometry,NA,NA,ResearchGate,3,NA,455,455,NA,NA,NA,1969,NA,NA,NA,NA,1
156,A204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Muazzam, A.; Siddiqui, E.-S.; Mostafa, A. Saleh; Bagais",NA,NA,NA,Extraction and Visualization of the Chain of Narrators from Hadiths using Named Entity Recognition and Classification,NA,NA,ResearchGate,5,1,NA,NA,NA,NA,Apr.,2014,NA,NA,NA,NA,1
295,A205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Muhs, D.R.; Prospero, J.M.; Baddock, M.C.; Gill, T.E.",NA,NA,NA,Identifying sources of Aeolian mineral dust: present and past. Mineral dust- a key player in the earth system,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,2
296,A206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,Myklestad,NA,NA,NA,A new method of calculating natural modes of uncoupled bending vibration of airplane wings,NA,NA,Research Gate,3,NA,20,30,NA,NA,NA,2014,NA,NA,NA,NA,1
157,A207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Na, K; Chaves, A; Pellegrino, JP",NA,NA,NA,A simple device for quantitative stool thick-smear technique in Schistomiasis mansoni,NA,NA,ResearchGate,14,NA,397,400,NA,NA,NA,1971,NA,NA,NA,NA,1
158,A208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Namiki, M.; Ueda, M.; Todoroki, A.; Hirano, Y.; Matsuzaki, R.",NA,NA,NA,3D printing of continuous fiber reinforced plastic,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,2014,NA,NA,NA,NA,1
159,A209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Naranjo-Madrigal, H.",NA,NA,NA,Bajos Pesqueros en el Pacifico Norte de Costa Rica: Importancia ecologi-ca e implicaciones socio-economicas y de manejo,NA,NA,Researchgate. net.,NA,NA,NA,NA,NA,10.13140/RG.2.1.4326.2965,NA,2016,NA,NA,NA,NA,1
