,AID,CID,CitedAs,Locatable,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
9414,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9415,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9416,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9417,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9418,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9419,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9420,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9421,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9422,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9423,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9424,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9425,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9426,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9427,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9428,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9429,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9430,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9431,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9432,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9433,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9434,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9435,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9436,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9437,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9438,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9439,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9440,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9441,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9442,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9443,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9444,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9445,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9446,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9447,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9448,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9449,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9450,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9451,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9452,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9453,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9454,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9455,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9456,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9457,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9458,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9459,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9460,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
95,P095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hong, Jang; Rani, Han; Song, Shim",NA,NA,NA,Expanded polystyrene (eps) buoy as a possible source of hexabromocyclododecanes (HBCDs) in the marine environment,NA,NA,ResearchGate,75,NA,882,885,NA,NA,NA,2013,NA,NA,NA,NA,1
96,P096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hu, G.; Liu, C.; Liao, Y.; Yang, L; Huang, R.; Wu, J.; Xie, J.; Bundhoo, K.; Liu, Y.; Bin, J.",NA,NA,NA,Ultrasound molecular imaging of arterial thrombi with novel microbubbles modified by cyclic RGD in vitro and in vivo,NA,NA,ResearchGate,107,NA,172,183,NA,NA,NA,2011,NA,NA,NA,NA,1
97,P097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Huang, Y.L.; Fuh, C.S.",NA,NA,NA,Noise reduction using enhanced bilateral filter,NA,NA,Researchgate,12,4,46,53,NA,NA,NA,2006,NA,NA,NA,NA,1
98,P098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Iftekhar, S.; Srivastava, V.; Sillanpaa, M.",NA,NA,NA,Synthesis and application of LDH intercalated cellulose nanocomposite for separation of rare earth elements (REEs),NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
99,P099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Indrabayu, N.; Harun, M. S.; Pallu; Achmad, A.",NA,NA,NA,Statistic Approach versus Artificial Intelligence for Rainfall Prediction Based on Data Series,NA,NA,ResearchGate,5,2,1962,1969,NA,NA,Apr.,2013,NA,NA,NA,NA,1
100,P100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Irina, R.; Joseph, H.; Jayram, T.",NA,NA,NA,An analysis of data characteristics that affect naive Bayes performance,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,1
101,P101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Iryanto, I.; Hermawan; Syakur, A.",NA,NA,NA,Studi Pengaruh Penuaan (Aging) Terhadap Laju Degradasi Kualitas Minyak Isolasi Transformator Tenaga,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Januari,2016,NA,NA,NA,NA,1
102,P102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Jagannathan, L; Cuddapah, S; Costa, M",NA,NA,NA,Oxidative stress under ambient and physiological oxygen tension in tissue culture,NA,NA,ResearchGate.,NA,NA,NA,NA,NA,DOI 10.1007/S40495-016-0050-5,NA,2016,NA,NA,NA,NA,1
103,P103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Jaiswal, M; Gandhi, A; Sharma, A; Mittal, SR",NA,NA,NA,Spectrum of complex non-missile penetrating spinal injury: a series of four cases with review of literature,NA,NA,ResearchGate,5,NA,25,34,NA,NA,NA,2014,NA,NA,NA,NA,1
104,P104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Jakobek, L.; Seruga, M.; Novak, I.; Medvidovic-Kosanovic, M.",NA,NA,NA,NA,NA,NA,Research Gate,103,NA,1,1,NA,NA,NA,2007,NA,NA,NA,NA,1
105,P105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Jezerek, M.; Flear, M.; Moina, J.",NA,NA,NA,Laser multiple line triangulation system for real-time 3-D monitoring of chest wall during breathing,NA,NA,ResearchGate,54,7,NA,NA,503506,NA,Jan.,2008,NA,NA,NA,NA,1
106,P106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Johansson, G; Winroth, M",NA,NA,NA,Lean vs. Green manufacturing: similarities and differences,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2009,16th International Annual EurOMA Conference: Implementation-Realizing Operations Management Knowledge,NA,NA,NA,1
107,P107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kao, K. L.",NA,NA,NA,An advanced simulation tool- set for video transmission performance evaluation,NA,NA,ResearchGate,NA,NA,NA,NA,NA,DOI 10.1145/1190455.1190464,NA,2006,NA,NA,NA,NA,1
108,P108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Karimov, K. S.; Khalid, F. A.; Chani, M. T. S.; Mateen, A.; Hussain, M. A.; Maqbool, A.",NA,NA,NA,Carbon nanotubes based flexible temperature sensors,NA,NA,ResearchGate,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
109,P109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kelly, O. D.; Anane, A.; Bernard, R.; Youssef, J. B.; Hahn, C.; Molpeceres, A.-H.; Carretero, C.; Jacquet, E.; Deranlot, C.; Bortolotti, P.; Lebourgois, R.; Mage, J.-C.; Loubens, G. de; Klein, O.; Cros, V.; Fert, A.",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
110,P110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kelsey, J.; Schneier, B.; Wagner, D.",NA,NA,NA,"Related-key cryptanalysis of 3-way,biham-des,cast, des-x, newdes, rc2, and tea",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,1
111,P111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kharisov, B. I.",NA,NA,NA,Dispersion of carbon nanotubes in water and non-aqueous solvents,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
112,P112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Khitun, A.; Nikonov, D. E.; Bao, M.; Galatsis, K.; Wang, K. L.",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
113,P113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kim, S. M.; Chong, J. W.; Jung, C. Y.; Jeon, T. H.; Park, J. H.; Kang, Y. J.; Jeong, S. H.; Kim, M. J.; Sung, D. K.",NA,NA,NA,Experiments on Interference and Coexistence between ZigBee and WLAN Devices Operating in the 2.4 GHz ISM Band,NA,NA,ResearchGate,1,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,1
114,P114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kincaid, RL",NA,NA,NA,Assessment of trace mineral status of ruminants: a review,NA,NA,ResearchGate,NA,NA,77,77,NA,NA,NA,1999,NA,NA,NA,NA,1
115,P115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kleimola, J.",NA,NA,NA,A RESTful Interface to a Mobile Phone,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,1
116,P116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Klein, D.",NA,NA,NA,An OpenFlow extension for the OMNeT++ INET framework,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
117,P117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kleinberg, S. C.; Arroyo, J. E.; Chih, K.; Scherer, S. S.",NA,NA,NA,"Na, K-ATPase isoforms in the PNS: Cell-type specific expression and internodal localization inmyelinated axons",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
118,P118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Knudsen, M. P.; Dalum, B.; Villumsen, G.",NA,NA,NA,NA,NA,NA,Two Faces of Absorptive Capacity Creation: Access and Utilisation of Knowledge,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,1
119,P119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Koch, D.; Buchan, W.; Cnop, T.; Antwerp, U.",NA,NA,NA,Proper Pretreatment Systems Reduce Membrane Replacement Element Costs and Improve Reliability,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,1
120,P120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kolobukhina, LV; Nosik, NN; Merkulova, LN",NA,NA,NA,Time course of leukocyte interferon induction after single and repeated application of panavir,NA,NA,ResearchGate,8,NA,49,52,NA,NA,NA,2009,NA,NA,NA,NA,1
